time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-05T04:13:22.590Z,33.4811668,-116.7898331,5.29,1.55,ml,72,21,0.03234,0.19,ci,ci38932823,2019-11-05T04:15:48.643Z,"8km ENE of Aguanga, CA",earthquake,0.19,0.62,0.219,25,automatic,ci,ci
2019-11-05T03:54:52.220Z,33.9848333,-116.9273333,5.12,0.83,ml,31,69,0.06496,0.16,ci,ci38932799,2019-11-05T03:58:38.221Z,"8km NE of Beaumont, CA",earthquake,0.25,0.72,0.184,29,automatic,ci,ci
2019-11-05T03:34:51.630Z,36.666832,-121.2871704,4.63,2.33,md,43,66,0.04448,0.06,nc,nc73300840,2019-11-05T03:44:03.492Z,"14km SSE of Tres Pinos, CA",earthquake,0.2,0.84,0.21,40,automatic,nc,nc
2019-11-05T03:25:02.940Z,19.2116661,-155.3823395,30.8,1.7,md,39,176,0.02942,0.14,hv,hv71216616,2019-11-05T03:28:14.020Z,"10km E of Pahala, Hawaii",earthquake,0.91,1.1,0.41,3,automatic,hv,hv
2019-11-05T03:23:28.600Z,35.8503333,-117.69,8.62,0.59,ml,15,74,0.07376,0.18,ci,ci38932759,2019-11-05T03:26:59.052Z,"22km ESE of Little Lake, CA",earthquake,0.42,1.12,0.12,8,automatic,ci,ci
2019-11-05T03:18:20.140Z,19.2163334,-155.3891602,30.82,2.23,ml,53,155,0.02248,0.12,hv,hv71216611,2019-11-05T03:24:26.880Z,"9km E of Pahala, Hawaii",earthquake,0.47,0.74,2.66,7,automatic,hv,hv
2019-11-05T03:07:44.796Z,66.4534,-157.6324,34.6,1.4,ml,,,,0.67,ak,ak019e72w4qq,2019-11-05T03:20:55.794Z,"60km SSW of Kobuk, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-11-05T03:03:34.470Z,39.9993,-118.1948,0.1,1.3,ml,10,268.35,0.848,0.4,nn,nn00709564,2019-11-05T03:28:17.880Z,"31km SE of Lovelock, Nevada",earthquake,,18,,,automatic,nn,nn
2019-11-05T03:00:22.510Z,36.5024986,-121.0761642,7.56,1.69,md,10,128,0.04935,0.07,nc,nc73300835,2019-11-05T03:44:04.292Z,"7km ESE of Pinnacles, CA",earthquake,0.54,1.32,0.2,9,automatic,nc,nc
2019-11-05T02:56:51.590Z,18.9206,-67.4711,21,2.48,md,8,298,0.5362,0.35,pr,pr2019309001,2019-11-05T03:53:19.466Z,"61km NW of San Antonio, Puerto Rico",earthquake,2.21,27.19,0.37,7,reviewed,pr,pr
2019-11-05T02:55:59.920Z,35.9243333,-117.7098333,2.33,0.45,ml,11,57,0.05367,0.14,ci,ci38932743,2019-11-05T02:59:34.110Z,"18km E of Little Lake, CA",earthquake,0.35,0.52,0.132,5,automatic,ci,ci
2019-11-05T02:54:50.272Z,60.1762,-141.1435,11.9,2,ml,,,,0.81,ak,ak019e72ksa9,2019-11-05T03:00:23.011Z,"72km E of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
